"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"H-3","12.35y","1 OBT","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.7E-11","4.1E-11","4.2E-11","4.4E-11","4.3E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.1E-11","4.2E-11"
"H-3","12.35y","1.0","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11","1.8E-11"
"Be-7","53.3d","0.005","4E-12","1.8E-11","5.9E-12","6.9E-13","8.8E-13","8.4E-13","1.5E-11","4.8E-11","7.1E-11","1.3E-10","9.5E-11","7.9E-12","5.1E-12","6.8E-12","5.5E-11","6.9E-12","1.2E-11","6E-13","1.4E-12","2.5E-12","5.5E-12","5.9E-12","8.4E-13","6E-13","2.5E-11","7.4E-12","2.8E-11"
"Be-10","1.6E6y","0.005","2.5E-11","2.8E-11","2.2E-09","2.5E-11","2.5E-11","2.5E-11","3.2E-10","7.5E-10","4.4E-09","1.3E-08","8.1E-09","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","7.3E-10","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","2.5E-11","4E-11","1.1E-09"
"C-11","20.38m","1.0","3.6E-12","1.3E-12","1.5E-12","8.7E-13","1.4E-12","1.4E-12","1.8E-10","6.5E-12","4.5E-12","2.1E-12","3.4E-12","3.2E-12","2.3E-12","1.8E-12","2E-12","1.1E-11","1.8E-12","1E-12","1.9E-12","1.2E-12","7.3E-12","1E-12","1.4E-12","1E-12","1.8E-12","2E-12","2.4E-11"
"C-14","5730y","1.0","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","6.3E-10","5.7E-10","5.8E-10","6E-10","5.9E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.7E-10","5.8E-10"
"F-18","109.77m","1.0","1.6E-11","4.1E-12","6E-11","5.9E-12","4.1E-12","4.7E-12","2.9E-10","1.6E-11","1.8E-11","1.1E-11","1.5E-11","1.1E-11","6.8E-12","6.7E-12","9.4E-12","2.8E-11","6.5E-11","4.4E-12","7.2E-12","3.9E-12","1.8E-11","2.4E-12","4.7E-12","4.4E-12","6.8E-12","7E-12","4.9E-11"
"Na-22","2.602y","1.0","3.4E-09","4.3E-09","6.3E-09","2.6E-09","2E-09","2.5E-09","2.9E-09","3E-09","2.9E-09","3.4E-09","3.1E-09","2.9E-09","2.7E-09","2.6E-09","3.2E-09","3.2E-09","4.6E-09","2.7E-09","2.6E-09","1.9E-09","2.8E-09","2.4E-09","2.5E-09","2.7E-09","3.1E-09","2.6E-09","3.2E-09"
"Na-24","15.00h","1.0","3.4E-10","4.2E-10","5.4E-10","2.5E-10","2.2E-10","2.7E-10","1.2E-09","3.4E-10","3.9E-10","4.1E-10","4E-10","3.1E-10","2.9E-10","2.7E-10","3.3E-10","3.9E-10","3.9E-10","2.7E-10","2.6E-10","2.1E-10","3.3E-10","2.6E-10","2.7E-10","2.7E-10","3.2E-10","2.7E-10","4.3E-10"
"Mg-28","20.91h","0.5","2.9E-10","6.6E-10","1.6E-09","1.8E-10","1.7E-10","1.9E-10","2.1E-09","2.8E-09","9.9E-09","1.5E-08","1.2E-08","3.4E-10","2.8E-10","2.8E-10","9.6E-10","3.6E-10","9.7E-10","1.9E-10","2.1E-10","1.9E-10","3E-10","2.3E-10","1.9E-10","1.9E-10","5.6E-10","3.3E-10","2.2E-09"
