"Nuclide","Half Life","Tye","f1","Adrenals","Urinary Bladder","Bone Suface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"H-3","12.35y","V","1 OBT","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11","7E-11"
"H-3","12.35y","V","1 HT","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15","3.1E-15"
"H-3","12.35y","V","1 CH3T","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13"
"H-3","12.35y","V","1 HTO","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11","3.1E-11"
"H-3","12.35y","F","1.0","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.3E-11","1.1E-11","1.1E-11","1.2E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11","1.1E-11"
"H-3","12.35y","M","0.1","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","9.1E-12","1.8E-11","9.3E-11","2.6E-10","1.7E-10","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.4E-12","9.7E-10","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.3E-12","3.6E-12","1.4E-10"
"H-3","12.35y","S","0.01","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","7.3E-12","2E-11","1.2E-10","3.4E-10","2.2E-10","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.4E-12","5E-09","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","3.1E-13","6.7E-13","6.3E-10"
"Be-7","53.3d","M","0.005","1.1E-10","2.7E-11","7.2E-11","2.2E-11","1E-10","1.1E-10","6.5E-11","5.9E-11","7.4E-11","1.1E-10","8.9E-11","5.2E-11","8.3E-11","5.4E-11","6.2E-11","8.9E-11","6.6E-11","7.5E-10","3.7E-10","3.1E-11","7.9E-11","1.4E-11","1.1E-10","5.6E-11","3.8E-11","4E-10","1.2E-10"
"Be-7","53.3d","S","0.005","1.4E-10","2.1E-11","5.7E-11","1E-11","1.4E-10","1.4E-10","7.8E-11","5.5E-11","7.2E-11","1E-10","8.4E-11","5.4E-11","1E-10","5.9E-11","5.5E-11","1.1E-10","5.4E-11","7.7E-10","5.2E-10","3.1E-11","9.7E-11","7.6E-12","1.4E-10","6.5E-11","3.2E-11","4.1E-10","1.4E-10"
"Be-10","1.6E6y","M","0.005","9.6E-10","1E-09","7.3E-08","9.6E-10","9.6E-10","9.6E-10","1.2E-09","1.7E-09","6E-09","1.5E-08","1E-08","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","3.4E-08","1.5E-08","1.1E-07","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.6E-10","9.8E-10","2E-08"
